ИНДЕКСЫ  ПОТРЕБИТЕЛЬСКИХ  ЦЕН  ПО РЕСПУБЛИКЕ  БЕЛАРУСЬ;;;;;
(предыдущий месяц = 100);;;;;
;;;;;
;2 0 2 4  г о д;;;;
;январь;февраль;март;апрель;май
носки из хлопчатобумажной и смесовой пряжи;100,50;100,97;99,97;100,50;100,41
носки из полушерстяной пряжи;100,68;100,19;100,20;97,11;105,70
шляпа, кепка, бейсболка;99,76;99,91;101,24;100,85;100,15
пиджак из полушерстяной, синтетической или смесовой ткани;100,07;100,44;100,64;101,85;100,20
женская;100,24;100,09;101,17;100,01;99,98
пальто зимнее;99,40;98,98;101,53;100,25;100,42
дубленка;98,92;99,09;100,69;100,36;99,80
пальто демисезонное;100,63;100,94;100,32;97,76;99,07
куртка;99,49;100,74;101,31;99,45;100,35
костюм из полушерстяной, смесовой или синтетической ткани;100,17;100,12;101,27;99,11;100,85
костюм из трикотажного полотна;101,13;99,12;102,53;99,55;99,66
пиджак (жакет);101,48;100,50;101,26;100,11;100,58
юбка ;99,97;99,08;101,73;100,67;99,41
джинсы;99,74;101,75;100,75;101,14;100,23
блузка;100,20;98,88;102,45;100,54;99,59
платье из полушерстяной ткани или трикотажного полотна;100,37;99,14;101,94;99,57;99,69
платье  из  хлопчатобумажной, смесовой ткани  или  трикотажного полотна;99,69;99,87;102,94;100,52;99,06
халат домашний;100,21;100,92;100,31;100,65;99,47
свитер, джемпер из синтетической или смесовой пряжи;101,22;100,29;102,13;99,75;100,40
костюм спортивный;100,40;99,48;100,69;101,26;99,50
бюстгальтер;100,27;100,32;100,37;100,55;99,16
трусы из хлопчатобумажного трикотажного полотна;100,35;100,05;100,05;99,65;99,97
шапка (берет) трикотажная;100,35;98,12;103,04;99,99;100,67
плащ;100,43;99,63;99,38;99,30;98,47
сорочка ночная;101,86;100,41;99,75;101,24;98,94
платок, шарф;100,00;100,56;100,15;100,35;99,98
шляпа;100,15;98,30;104,77;101,36;101,00
шуба (полушубок), пальто из искусственного меха;99,74;99,88;103,13;96,99;97,64
комплект белья ;100,08;100,61;99,53;99,78;99,82
фуфайка, футболка;100,28;100,38;99,81;100,66;99,01
костюм купальный ;99,97;99,98;100,28;102,47;100,22
колготки;101,00;100,72;99,87;100,72;100,32
носки, гольфы (получулки);99,99;98,91;99,42;99,09;101,57
брюки;100,28;100,10;102,08;99,52;101,01
детская;100,29;100,32;100,34;100,00;99,36
куртка зимняя и демисезонная для мальчика;99,11;101,17;102,07;98,66;99,88
куртка зимняя и демисезонная для девочки;98,99;100,43;101,18;100,74;97,86
пальто зимнее и демисезонное для девочки;98,60;99,21;101,84;100,31;99,83
носки из хлопчатобумажной  или  смесовой пряжи;100,28;100,37;100,12;100,26;100,83
брюки;100,09;100,57;100,12;100,04;98,19
предметы школьной формы для мальчика: костюм, пиджак, жилет;99,83;100,46;99,96;99,93;99,57
костюм спортивный;100,57;100,22;99,83;99,38;99,83
джемпер,  свитер из полушерстяной,  смесовой пряжи;100,70;99,37;101,08;100,03;99,19
сорочка верхняя из хлопчатобумажной или смесовой ткани ;101,11;99,58;100,67;99,84;100,63
юбка из смесовых тканей или трикотажного полотна;100,08;101,45;100,46;99,89;99,87
платье  из  хлопчатобумажной, смесовой ткани  или  трикотажного полотна;99,93;100,39;100,81;100,57;99,28
предметы школьной формы для девочки: костюм, сарафан, комплект (юбка, брюки, жакет, жилет);101,91;99,86;100,34;100,63;97,82
джинсы детские;100,98;102,08;100,02;100,08;98,82
белье для новорожденных и детей ясельного возраста;100,81;100,92;99,13;100,26;98,68
комплект белья детского;100,38;99,29;98,40;99,25;100,75
фуфайка из хлопчатобумажной (смесовой) пряжи;100,74;100,50;99,46;99,49;101,05
перчатки, варежки трикотажные;98,78;100,25;100,05;102,46;100,00
шапочка трикотажная;99,82;99,95;102,11;99,94;99,66
колготки;101,37;100,13;100,00;100,85;99,99
пижама;99,58;101,50;99,43;99,65;97,91
ОБУВЬ;99,00;101,18;100,98;100,71;99,42
мужская;99,45;101,51;101,14;100,15;98,69
полуботинки, туфли кожаные;100,17;103,25;101,04;96,51;97,23
сапоги (ботинки) на меху;95,60;100,27;103,42;107,20;100,96
обувь домашняя;100,33;100,39;99,95;97,93;98,23
туфли кроссовые;101,34;101,57;99,80;98,16;98,14
босоножки, сандалеты из натуральной или искусственной кожи;100,05;99,97;103,90;101,66;94,41
обувь резиновая ;99,99;100,10;99,94;100,04;100,94
женская;98,18;101,30;101,11;101,08;99,72
сапоги зимние;93,81;100,05;103,84;106,99;100,39
сапоги (ботинки, ботильоны) демисезонные ;99,48;102,06;98,86;98,00;104,03
туфли кожаные на низком каблуке, на синтетической подошве;99,75;103,89;100,51;98,08;96,49
туфли модельные;100,10;105,18;99,60;97,50;96,28
туфли летние кожаные;100,00;98,75;101,67;100,72;96,43
туфли кроссовые;101,05;101,42;100,55;98,75;98,58
обувь домашняя;100,04;100,48;99,99;97,96;98,55
туфли из искусственной кожи;100,10;100,59;100,34;99,23;98,52
детская;100,80;100,19;100,20;100,43;99,91
полусапожки зимние  и  демисезонные  для  мальчика;101,56;98,97;100,74;101,62;100,09
полусапожки (сапожки) зимние и демисезонные для девочки;100,29;100,14;100,22;100,91;99,93
ботинки, туфли демисезонные кожаные;101,01;101,43;99,79;99,85;100,08
туфли девичьи;100,88;100,43;100,93;99,57;99,56
туфли кроссовые;100,56;100,23;99,72;100,14;99,88
МЕБЕЛЬ;100,41;101,35;100,72;100,23;100,62
стол письменный, компьютерный;100,24;101,77;101,21;100,82;101,28
шкаф для одежды и белья;100,56;101,08;100,65;100,24;100,57
стул;99,89;103,22;101,44;99,28;100,75
диван-кровать, тахта;100,19;100,92;100,67;100,04;100,71
набор корпусной мебели;101,97;103,16;100,52;100,97;100,51
набор мягкой мебели;101,10;100,19;100,91;99,86;100,56
гарнитур кухонный ;100,64;100,66;100,56;100,35;100,17
гарнитур для прихожей;101,63;102,60;100,58;100,74;101,51
